"DatumCode","Name","EllipsoidCode"
"NOT_RECORDED","not recorded (forced WGS84)","WGS84"
"WGS84","World Geodetic System 1984","WGS84"
"NAD83","North American Datum 1983","GRS80"
"NAD27","North American Datum 1927","CLARKE_1866"
"ADINDAN","Adindan","CLARKE_1880"
"AFGOOYE","Afgooye","KRASSOVSKY_1940"
"AIN_EL_ABD_1970","Ain el Abd 1970","INTERNATIONAL_1924"
"AIRY_1830_ELLIPSOID","AIRY_1830 ellipsoid","AIRY_1830"    
"AMERICAN_SAMOA_1962","American Samoa 1962","CLARKE_1866"
"ANNA_1_ASTRO_1965","Anna 1 Astro 1965","AUSTRALIAN_NATIONAL"
"ANTIGUA_ISLAND_ASTRO_1943","Antigua Island Astro 1943","CLARKE_1880"
"ARC_1950","Arc 1950","CLARKE_1880"
"ARC_1960","Arc 1960","CLARKE_1880"
"ASCENSION_ISLAND_1958","Ascension Island 1958","INTERNATIONAL_1924"
"ASTRO_BEACON_E_1945","Astro Beacon E 1945","INTERNATIONAL_1924"
"ASTRO_DOS_71_4","Astro DOS 71/4","INTERNATIONAL_1924"
"ASTRO_TERN_ISLAND_FRIG_1961","Astro Tern Island (FRIG) 1961","INTERNATIONAL_1924"
"ASTRONOMIC_STATION_NO_1_1951","Astronomic Station No. 1 1951","INTERNATIONAL_1924"
"ASTRONOMIC_STATION_NO_2_1951_TRUK_ISLAND","Astronomic Station No. 2 1951 (Truk Island)","INTERNATIONAL_1924"
"ASTRONOMIC_STATION_PONAPE_1951","Astronomic Station Ponape 1951","INTERNATIONAL_1924"
"ASTRONOMICAL_STATION_1952","Astronomical Station 1952","INTERNATIONAL_1924"
"AGD66","Australian Geodetic Datum 1966","AUSTRALIAN_NATIONAL"
"AGD84","Australian Geodetic Datum 1984","AUSTRALIAN_NATIONAL"
"AUSTRALIAN_NATIONAL_ELLIPSOID","AUSTRALIAN_NATIONAL ellipsoid","AUSTRALIAN_NATIONAL"
"AYABELLE_LIGHTHOUSE","Ayabelle Lighthouse","CLARKE_1880"
"BEKAA_VALLEY_1920_IGN","Bekaa Valley 1920 (IGN)","CLARKE_1880"
"BELLEVUE_IGN","Bellevue (IGN)","INTERNATIONAL_1924"
"BERMUDA_1957","Bermuda 1957","CLARKE_1866"
"BESSEL_1841_NAMIBIA_ELLIPSOID","BESSEL_1841 ellipsoid (Namibia)","BESSEL_1841_NAMIBIA"
"BESSEL_1841_ELLIPSOID","BESSEL_1841 ellipsoid","BESSEL_1841"
"BISSAU","Bissau","INTERNATIONAL_1924"
"BOGOTA_OBSERVATORY","Bogota Observatory","INTERNATIONAL_1924"
"BUKIT_RIMPAH","Bukit Rimpah","BESSEL_1841"
"CAMP_AREA_ASTRO","Camp Area Astro","INTERNATIONAL_1924"
"CAMPO_INCHAUSPE","Campo Inchauspe","INTERNATIONAL_1924"
"CANTON_ASTRO_1966","Canton Astro 1966","INTERNATIONAL_1924"
"CAPE","Cape","CLARKE_1880"
"CAPE_CANAVERAL","Cape Canaveral","CLARKE_1866"
"CARTHAGE","Carthage","CLARKE_1880"
"CHATHAM_ISLAND_ASTRO_1971","Chatham Island Astro 1971","INTERNATIONAL_1924"
"CHUA_ASTRO","Chua Astro","INTERNATIONAL_1924"
"CLARKE_1858_ELLIPSOID","CLARKE_1858 ellipsoid","CLARKE_1858"
"CLARKE_1866_ELLIPSOID","CLARKE_1866 ellipsoid","CLARKE_1866"
"CLARKE_1880_ELLIPSOID","CLARKE_1880 ellipsoid","CLARKE_1880"
"COORDINATE_SYSTEM_1937_OF_ESTONIA","Co-ordinate System 1937 of Estonia","BESSEL_1841"
"CORREGO_ALEGRE","Corrego Alegre","INTERNATIONAL_1924"
"DABOLA","Dabola","CLARKE_1880"
"DECEPTION_ISLAND","Deception Island","CLARKE_1880"
"DJAKARTA_BATAVIA","Djakarta (Batavia)","BESSEL_1841"
"DOS_1968","DOS 1968","INTERNATIONAL_1924"
"EASTER_ISLAND_1967","Easter Island 1967","INTERNATIONAL_1924"
"EUROPEAN_1950","European 1950","INTERNATIONAL_1924"
"EUROPEAN_1979","European 1979","INTERNATIONAL_1924"
"EVEREST_ELLIPSOID","Everest ellipsoid (Brunei,Sabah,Sarawak)","EVEREST_E_MALAYSIA"
"EVEREST_INDIA_1830_ELLIPSOID","EVEREST_INDIA_1830 ellipsoid","EVEREST_INDIA_1830"
"EVEREST_INDIA_1856_ELLIPSOID","EVEREST_INDIA_1856 ellipsoid","EVEREST_INDIA_1856"
"EVEREST_PAKISTAN_ELLIPSOID","EVEREST_PAKISTAN ellipsoid","EVEREST_PAKISTAN"
"EVEREST_WEST_MALAYSIA_1948_ELLIPSOID","EVEREST_W_MALAYSIA_1948 ellipsoid","EVEREST_W_MALAYSIA_1948"
"EVEREST_WEST_MALAYSIA_1969_ELLIPSOID","EVEREST_W_MALAYSIA_1969 ellipsoid","EVEREST_W_MALAYSIA_1969"
"FORT_THOMAS_1955","Fort Thomas 1955","CLARKE_1880"
"GAN_1970","Gan 1970","INTERNATIONAL_1924"
"GEODETIC_DATUM_1949","Geodetic Datum 1949","INTERNATIONAL_1924"
"GRACIOSA_BASE_SW_1948","Graciosa Base SW 1948","INTERNATIONAL_1924"
"GRS80_ELLIPSOID","GRS80 ellipsoid","GRS80"
"GUAM_1963","Guam 1963","CLARKE_1866"
"GUNUNG_SEGARA","Gunung Segara","BESSEL_1841"
"GUX_1_ASTRO","GUX 1 Astro","INTERNATIONAL_1924"
"HELMERT_1906_ELLIPSOID","HELMERT_1906 ellipsoid","HELMERT_1906"
"HERAT_NORTH","Herat North","INTERNATIONAL_1924"
"HERMANNKOGEL","Hermannkogel","BESSEL_1841"
"HITO_XVIII_1963","Hito XVIII 1963","INTERNATIONAL_1924"
"HJORSEY_1955","Hjorsey 1955","INTERNATIONAL_1924"
"HONG_KONG_1963","Hong Kong 1963","INTERNATIONAL_1924"
"HOUGH_1960_ELLIPSOID","HOUGH_1960 ellipsoid","HOUGH_1960"
"HU_TZU_SHAN","Hu-Tzu-Shan","INTERNATIONAL_1924"
"INDIAN","Indian","EVEREST_INDIA_1956"
"INDIAN_1954","Indian 1954","EVEREST_INDIA_1830"
"INDIAN_1960","Indian 1960","EVEREST_INDIA_1830"
"INDIAN_1975","Indian 1975","EVEREST_INDIA_1830"
"INDONESIAN_1974","INDONESIAN_1974","INDONESIAN_1974"
"INTERNATIONAL_1924_ELLIPSOID","INTERNATIONAL_1924 ellipsoid","INTERNATIONAL_1924"
"IRELAND_1965","Ireland 1965","MODIFIED_AIRY"
"ISTS_061_ASTRO_1968","ISTS 061 Astro 1968","INTERNATIONAL_1924"
"ISTS_073_ASTRO_1969","ISTS 073 Astro 1969","INTERNATIONAL_1924"
"JAPANESE_GEODETIC_DATUM_2000","Japanese Geodetic Datum 2000","GRS80"
"JOHNSTON_ISLAND_1961","Johnston Island 1961","INTERNATIONAL_1924"
"KANDAWALA","Kandawala","EVEREST_INDIA_1830"
"KAPINGAMARANGI_ASTRONOMIC_STATION_NO_3_1951","Kapingamarangi Astronomic Station No. 3 1951","INTERNATIONAL_1924"
"KERGUELEN_ISLAND_1949","Kerguelen Island 1949","INTERNATIONAL_1924"
"KERTAU_1948","Kertau 1948","EVEREST_W_MALAYSIA_1948"
"KOREAN_GEODETIC_SYSTEM_1995","Korean Geodetic System 1995","WGS84"
"KRASSOVSKY_1940_ELLIPSOID","KRASSOVSKY_1940 ellipsoid","KRASSOVSKY_1940"
"KUSAIE_ASTRO_1951","Kusaie Astro 1951","INTERNATIONAL_1924"
"L_C_5_ASTRO_1961","L.C. 5 Astro 1961","CLARKE_1866"
"LEIGON","Leigon","CLARKE_1880"
"LEMUTA","Lemuta","INTERNATIONAL_1924"
"LIBERIA_1964","Liberia 1964","CLARKE_1880"
"LUZON","Luzon","CLARKE_1866"
"MAHE_1971","Mahe 1971","CLARKE_1880"
"MASSAWA","Massawa","BESSEL_1841"
"MERCHICH","Merchich","CLARKE_1880"
"MIDWAY_ASTRO_1961","Midway Astro 1961","INTERNATIONAL_1924"
"MINNA","Minna","CLARKE_1880"
"MODIFIED_AIRY_ELLIPSOID","MODIFIED_AIRY ellipsoid","MODIFIED_AIRY"
"MODIFIED_FISCHER_1960_ELLIPSOID","MODIFIED_FISCHER_1960 ellipsoid","MODIFIED_FISCHER_1960"
"MONTSERRAT_ISLAND_ASTRO_1958","Montserrat Island Astro 1958","CLARKE_1880"
"MPORALOKO","M'Poraloko","CLARKE_1880"
"NAHRWAN","Nahrwan","CLARKE_1880"
"NAPARIMA_BWI","Naparima,BWI","INTERNATIONAL_1924"
"NAPARIMA_1972","Naparima 1972","INTERNATIONAL_1924"
"NORTH_SAHARA_1959","North Sahara 1959","CLARKE_1880"
"OBSERVATORIO_METEOROLOGICO_1939","Observatorio Meteorologico 1939","INTERNATIONAL_1924"
"OCOTEPEQUE_1935","Ocotepeque 1935","CLARKE_1866"
"OLD_EGYPTIAN_1907","Old Egyptian 1907","HELMERT_1906"
"OLD_HAWAIIAN_CLARKE_1866","Old Hawaiian,CLARKE_1866","CLARKE_1866"
"OLD_HAWAIIAN_INTERNATIONAL_1924","Old Hawaiian,INTERNATIONAL_1924","INTERNATIONAL_1924"
"OLD_TRINIDAD_1903","Old Trinidad 1903,CLARKE_1858","CLARKE_1858"
"OMAN","Oman","CLARKE_1880"
"ORDNANCE_SURVEY_OF_GREAT_BRITAIN_1936","Ordnance Survey of Great Britain 1936","AIRY_1830"
"PICO_DE_LAS_NIEVES","Pico de las Nieves","INTERNATIONAL_1924"
"PITCAIRN_ASTRO_1967","Pitcairn Astro 1967","INTERNATIONAL_1924"
"POINT_58","Point 58","CLARKE_1880"
"POINT_NOIRE_1958","Point Noire 1958","CLARKE_1880"
"PORTO_SANTO_1936","Porto Santo 1936","INTERNATIONAL_1924"
"PROVISIONAL_SOUTH_AMERICAN_1956","Provisional South American 1956","INTERNATIONAL_1924"
"PROVISIONAL_SOUTH_CHILEAN_1963","Provisional South Chilean 1963","INTERNATIONAL_1924"
"PUERTO_RICO","Puerto Rico","CLARKE_1866"
"QATAR_NATIONAL","Qatar National","INTERNATIONAL_1924"
"QORNOQ","Qornoq","INTERNATIONAL_1924"
"REUNION","Reunion","INTERNATIONAL_1924"
"ROME_1940","Rome 1940","INTERNATIONAL_1924"
"S_42_PULKOVO_1942","S-42 (Pulkovo 1942)","KRASSOVSKY_1940"
"SANTO_DOS_1965","Santo (DOS) 1965","INTERNATIONAL_1924"
"SAO_BRAZ","Sao Braz","INTERNATIONAL_1924"
"SAPPER_HILL_1943","Sapper Hill 1943","INTERNATIONAL_1924"
"SCHWARZECK","Schwarzeck","BESSEL_1841_NAMIBIA"
"SELVAGEM_GRANDE_1938","Selvagem Grande 1938","INTERNATIONAL_1924"
"SIERRA_LEONE_1960","Sierra Leone 1960","CLARKE_1880"
"S_JTSK","S-JTSK","BESSEL_1841"
"SOUTH_AMERICAN_1969","SOUTH_AMERICAN_1969","SOUTH_AMERICAN_1969"
"SIRGAS_SOUTH_AMERICAN_GEOCENTRIC_REFERENCE_SYSTEM","SIRGAS - South American Geocentric Reference System","GRS80"
"SOUTH_ASIA","South Asia","MODIFIED_FISCHER_1960"
"TANANARIVE_OBSERVATORY_1925","Tananarive Observatory 1925","INTERNATIONAL_1924"
"TIMBALAI_1948","Timbalai 1948","EVEREST_E_MALAYSIA"
"TOKYO","Tokyo","BESSEL_1841"
"TRISTAN_ASTRO_1968","Tristan Astro 1968","INTERNATIONAL_1924"
"VITI_LEVU_1916","Viti Levu 1916","CLARKE_1880"
"VOIROL_1874","Voirol 1874","CLARKE_1880"
"VOIROL_1960","Voirol 1960","CLARKE_1880"
"WAKE_ENIWETOK_1960","Wake-Eniwetok 1960","HOUGH_1960"
"WAKE_ISLAND_ASTRO_1952","Wake Island Astro 1952","INTERNATIONAL_1924"
"WGS66","(WGS66) World Geodetic System 1966","WGS66"
"WGS72","(WGS72) World Geodetic System 1972","WGS72"
"YACARE","Yacare","INTERNATIONAL_1924"
"ZANDERIJ","Zanderij","INTERNATIONAL_1924"