"EllipsoidCode","Name","InverseFlattening","SemiMajorAxis"
"AIRY_1830","Airy 1830","299.3249646","6377563.396"
"AUSTRALIAN_NATIONAL","Australian National","298.25","6378160.0"
"BESSEL_1841","Bessel 1841","299.1528128","6377397.155"
"BESSEL_1841_NAMIBIA","Bessel 1841 Namibia","299.1528128","6377483.865"
"CLARKE_1858","Clarke 1858","294.26","6378293.6"
"CLARKE_1866","Clarke 1866","294.9786982","6378206.4"
"CLARKE_1880","Clarke 1880","293.465","6378249.145"
"EVEREST_E_MALAYSIA","Everest Brunei and E. Malaysia (Sabah and Sarawak)","300.8017","6377298.556"
"EVEREST_INDIA_1830","Everest India 1830","300.8017","6377276.345"
"EVEREST_INDIA_1956","Everest India 1956","300.8017","6377301.243"
"EVEREST_PAKISTAN","Everest Pakistan","300.8017","6377309.613"
"EVEREST_W_MALAYSIA_1969","Everest W. Malaysia 1969","300.8017","6377295.664"
"EVEREST_W_MALAYSIA_1948","Everest W. Malaysia and Singapore 1948","300.8017","6377304.063"
"GRS80","GRS80","298.257222101","6378137.0"
"HELMERT_1906","Helmert 1906","298.3","6378200.0"
"HOUGH_1960","Hough 1960","297.0","6378270.0"
"INDONESIAN_1974","Indonesian 1974","298.247","6378160.0"
"INTERNATIONAL_1924","International 1924","297.0","6378388.0"
"KRASSOVSKY_1940","Krassovsky 1940","298.3","6378245.0"
"MODIFIED_AIRY","Modified Airy","299.3249646","6377340.189"
"MODIFIED_FISCHER_1960","Modified Fischer 1960","298.3","6378155.0"
"SOUTH_AMERICAN_1969","South American 1969","298.25","6378160.0"
"WGS66","World Geodetic System 1966","298.25","6378145.0"
"WGS72","World Geodetic System 1972","298.26","6378135.0"
"WGS84","World Geodetic System 1984","298.257223563","6378137.0"